day_of_week,hour,member_casual,total_rides
Monday,0,casual,41
Monday,0,member,92
Monday,1,casual,16
Monday,1,member,40
Monday,2,casual,13
Monday,2,member,25
Monday,3,casual,14
Monday,3,member,18
Monday,4,casual,12
Monday,4,member,78
Monday,5,casual,44
Monday,5,member,235
Monday,6,casual,79
Monday,6,member,730
Monday,7,casual,148
Monday,7,member,1479
Monday,8,casual,190
Monday,8,member,1913
Monday,9,casual,80
Monday,9,member,890
Monday,10,casual,95
Monday,10,member,668
Monday,11,casual,113
Monday,11,member,716
Monday,12,casual,131
Monday,12,member,735
Monday,13,casual,143
Monday,13,member,799
Monday,14,casual,145
Monday,14,member,967
Monday,15,casual,191
Monday,15,member,1150
Monday,16,casual,236
Monday,16,member,1539
Monday,17,casual,317
Monday,17,member,2534
Monday,18,casual,280
Monday,18,member,2452
Monday,19,casual,168
Monday,19,member,1463
Monday,20,casual,137
Monday,20,member,895
Monday,21,casual,101
Monday,21,member,596
Monday,22,casual,55
Monday,22,member,292
Monday,23,casual,43
Monday,23,member,219
Tuesday,0,casual,26
Tuesday,0,member,61
Tuesday,1,casual,8
Tuesday,1,member,40
Tuesday,2,casual,7
Tuesday,2,member,19
Tuesday,3,casual,8
Tuesday,3,member,11
Tuesday,4,casual,21
Tuesday,4,member,102
Tuesday,5,casual,41
Tuesday,5,member,277
Tuesday,6,casual,90
Tuesday,6,member,934
Tuesday,7,casual,211
Tuesday,7,member,2034
Tuesday,8,casual,238
Tuesday,8,member,2458
Tuesday,9,casual,101
Tuesday,9,member,1009
Tuesday,10,casual,79
Tuesday,10,member,609
Tuesday,11,casual,100
Tuesday,11,member,640
Tuesday,12,casual,128
Tuesday,12,member,808
Tuesday,13,casual,127
Tuesday,13,member,795
Tuesday,14,casual,133
Tuesday,14,member,881
Tuesday,15,casual,209
Tuesday,15,member,1145
Tuesday,16,casual,237
Tuesday,16,member,1536
Tuesday,17,casual,423
Tuesday,17,member,2690
Tuesday,18,casual,381
Tuesday,18,member,2696
Tuesday,19,casual,225
Tuesday,19,member,1524
Tuesday,20,casual,148
Tuesday,20,member,1045
Tuesday,21,casual,108
Tuesday,21,member,654
Tuesday,22,casual,77
Tuesday,22,member,388
Tuesday,23,casual,48
Tuesday,23,member,192
Wednesday,0,casual,39
Wednesday,0,member,111
Wednesday,1,casual,51
Wednesday,1,member,86
Wednesday,2,casual,38
Wednesday,2,member,42
Wednesday,3,casual,22
Wednesday,3,member,27
Wednesday,4,casual,37
Wednesday,4,member,87
Wednesday,5,casual,42
Wednesday,5,member,270
Wednesday,6,casual,106
Wednesday,6,member,900
Wednesday,7,casual,221
Wednesday,7,member,1942
Wednesday,8,casual,255
Wednesday,8,member,2543
Wednesday,9,casual,105
Wednesday,9,member,1174
Wednesday,10,casual,108
Wednesday,10,member,707
Wednesday,11,casual,132
Wednesday,11,member,703
Wednesday,12,casual,141
Wednesday,12,member,877
Wednesday,13,casual,150
Wednesday,13,member,862
Wednesday,14,casual,170
Wednesday,14,member,1013
Wednesday,15,casual,202
Wednesday,15,member,1237
Wednesday,16,casual,213
Wednesday,16,member,1498
Wednesday,17,casual,334
Wednesday,17,member,2516
Wednesday,18,casual,315
Wednesday,18,member,2425
Wednesday,19,casual,216
Wednesday,19,member,1495
Wednesday,20,casual,136
Wednesday,20,member,864
Wednesday,21,casual,131
Wednesday,21,member,558
Wednesday,22,casual,67
Wednesday,22,member,426
Wednesday,23,casual,60
Wednesday,23,member,205
Thursday,0,casual,42
Thursday,0,member,103
Thursday,1,casual,15
Thursday,1,member,44
Thursday,2,casual,11
Thursday,2,member,25
Thursday,3,casual,9
Thursday,3,member,17
Thursday,4,casual,28
Thursday,4,member,109
Thursday,5,casual,55
Thursday,5,member,262
Thursday,6,casual,98
Thursday,6,member,828
Thursday,7,casual,202
Thursday,7,member,1815
Thursday,8,casual,264
Thursday,8,member,2356
Thursday,9,casual,105
Thursday,9,member,1112
Thursday,10,casual,100
Thursday,10,member,684
Thursday,11,casual,116
Thursday,11,member,719
Thursday,12,casual,126
Thursday,12,member,872
Thursday,13,casual,130
Thursday,13,member,880
Thursday,14,casual,163
Thursday,14,member,995
Thursday,15,casual,228
Thursday,15,member,1280
Thursday,16,casual,281
Thursday,16,member,1519
Thursday,17,casual,396
Thursday,17,member,2559
Thursday,18,casual,341
Thursday,18,member,2416
Thursday,19,casual,218
Thursday,19,member,1583
Thursday,20,casual,157
Thursday,20,member,1005
Thursday,21,casual,158
Thursday,21,member,728
Thursday,22,casual,101
Thursday,22,member,468
Thursday,23,casual,70
Thursday,23,member,277
Friday,0,casual,34
Friday,0,member,159
Friday,1,casual,25
Friday,1,member,70
Friday,2,casual,8
Friday,2,member,38
Friday,3,casual,11
Friday,3,member,22
Friday,4,casual,21
Friday,4,member,87
Friday,5,casual,49
Friday,5,member,264
Friday,6,casual,92
Friday,6,member,754
Friday,7,casual,229
Friday,7,member,1544
Friday,8,casual,206
Friday,8,member,1930
Friday,9,casual,155
Friday,9,member,1164
Friday,10,casual,129
Friday,10,member,832
Friday,11,casual,178
Friday,11,member,973
Friday,12,casual,201
Friday,12,member,1113
Friday,13,casual,239
Friday,13,member,1158
Friday,14,casual,282
Friday,14,member,1327
Friday,15,casual,304
Friday,15,member,1570
Friday,16,casual,377
Friday,16,member,1832
Friday,17,casual,464
Friday,17,member,2318
Friday,18,casual,399
Friday,18,member,2069
Friday,19,casual,260
Friday,19,member,1344
Friday,20,casual,190
Friday,20,member,802
Friday,21,casual,140
Friday,21,member,603
Friday,22,casual,137
Friday,22,member,554
Friday,23,casual,112
Friday,23,member,406
Saturday,0,casual,110
Saturday,0,member,272
Saturday,1,casual,82
Saturday,1,member,172
Saturday,2,casual,60
Saturday,2,member,123
Saturday,3,casual,54
Saturday,3,member,81
Saturday,4,casual,27
Saturday,4,member,46
Saturday,5,casual,30
Saturday,5,member,76
Saturday,6,casual,40
Saturday,6,member,125
Saturday,7,casual,140
Saturday,7,member,409
Saturday,8,casual,179
Saturday,8,member,795
Saturday,9,casual,251
Saturday,9,member,1082
Saturday,10,casual,309
