year,month,month_name,member_casual,total_rides,avg_duration_min
2025,1,January,casual,6695,8.945337425939757
2025,1,January,member,43807,6.606156356670548
2025,2,February,casual,5878,9.889046543608938
2025,2,February,member,39274,6.907895430395002
2025,3,March,casual,13402,12.203470285529523
2025,3,March,member,59739,7.2391470803551
2025,4,April,casual,17313,15.03944967558097
2025,4,April,member,64019,7.429564502725753
2025,5,May,casual,23198,15.562779332270024
2025,5,May,member,69739,8.17494786202842
2025,6,June,casual,24172,16.044882297699818
2025,6,June,member,72551,8.40269712753787
