start_station_name,start_station_id,start_lat,start_lng,end_station_name,end_station_id,end_lat,end_lng,trip_count
McGinley Square,JC055,40.7253399253558,-74.06762212514877,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,928
Grove St PATH,JC115,40.71941,-74.04309,Liberty Light Rail,JC052,40.7112423,-74.0557013,851
Grove St PATH,JC115,40.71941,-74.04309,Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,834
Liberty Light Rail,JC052,40.7112423,-74.0557013,Grove St PATH,JC115,40.71941,-74.04309,811
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,McGinley Square,JC055,40.7253399253558,-74.06762212514877,760
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Grove St PATH,JC115,40.71941,-74.04309,738
Morris Canal,JC072,40.7124188237569,-74.03852552175522,Exchange Pl,JC116,40.71636596185077,-74.034343957901,706
Hamilton Park,JC009,40.727595966,-74.044247311,Grove St PATH,JC115,40.71941,-74.04309,695
Brunswick St,JC023,40.7241765,-74.0506564,Grove St PATH,JC115,40.71941,-74.04309,689
8 St & Washington St,HB603,40.74598388291562,-74.02819901704788,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,618
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,8 St & Washington St,HB603,40.74598388291562,-74.02819901704788,610
Madison St & 1 St,HB402,40.73879,-74.0393,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,599
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,Bergen Ave,JC095,40.722103786686034,-74.07145500183105,583
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.73593758446329,-74.03030455112457,Hoboken Ave at Monmouth St,JC105,40.73520838045357,-74.04696375131607,577
Grove St PATH,JC115,40.71941,-74.04309,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,566
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,Lincoln Park,JC053,40.7246050998869,-74.07840594649315,564
Lafayette Park,JC078,40.71346382669195,-74.06285852193832,Grove St PATH,JC115,40.71941,-74.04309,545
Grove St PATH,JC115,40.71941,-74.04309,Hamilton Park,JC009,40.727595966,-74.044247311,544
Fairmount Ave,JC093,40.72572613742557,-74.07195925712585,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,532
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,522
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,521
11 St & Washington St,HB502,40.74998490907138,-74.02715027332306,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,515
Dey St,JC065,40.737711,-74.066921,Journal Square,JC103,40.73367,-74.0625,506
Journal Square,JC103,40.73367,-74.0625,Dey St,JC065,40.737711,-74.066921,497
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,11 St & Washington St,HB502,40.74998490907138,-74.02715027332306,484
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.73593758446329,-74.03030455112457,Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,478
Lincoln Park,JC053,40.7246050998869,-74.07840594649315,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,469
Exchange Pl,JC116,40.71636596185077,-74.034343957901,Morris Canal,JC072,40.7124188237569,-74.03852552175522,467
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,462
Dixon Mills,JC076,40.721630142638354,-74.04996782541275,Grove St PATH,JC115,40.71941,-74.04309,454
Church Sq Park - 5 St & Park Ave,HB601,40.74265933273143,-74.03223305940628,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,447
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Hamilton Park,JC009,40.727595966,-74.044247311,443
Grove St PATH,JC115,40.71941,-74.04309,Brunswick St,JC023,40.7241765,-74.0506564,443
Van Vorst Park,JC035,40.71848892,-74.047726625,Grove St PATH,JC115,40.71941,-74.04309,440
Grove St PATH,JC115,40.71941,-74.04309,JC Medical Center,JC110,40.71539114317,-74.04969155788422,437
Hamilton Park,JC009,40.727595966,-74.044247311,Manila & 1st,JC082,40.72165072487999,-74.04288411140442,430
JC Medical Center,JC110,40.71539114317,-74.04969155788422,Grove St PATH,JC115,40.71941,-74.04309,407
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,404
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,395
Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,394
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,Clinton St & 7 St,HB303,40.74542,-74.03332,392
Grove St PATH,JC115,40.71941,-74.04309,Van Vorst Park,JC035,40.71848892,-74.047726625,391
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703,389
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Grove St PATH,JC115,40.71941,-74.04309,378
Newport PATH,JC066,40.7272235,-74.0337589,Hamilton Park,JC009,40.727595966,-74.044247311,376
